result_set,feature_set,window_type,protocol,family,model,activity_group,support,recall
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,jump,753,0.9030544488711819
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,10734,0.8955654928265325
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,posture,8763,0.9169234280497547
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,stairs,3422,0.9193454120397428
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_res,household,6446,0.9137449581135588
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_res,jump,753,0.8764940239043825
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_res,locomotion,10734,0.9228619340413639
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_res,posture,8763,0.952413557001027
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_res,stairs,3422,0.9228521332554062
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,household,1331,0.990984222389181
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,jump,153,1.0
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,2062,0.9980601357904947
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,posture,1781,0.99606962380685
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,stairs,697,0.9956958393113343
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_res,household,1331,0.990984222389181
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_res,jump,153,1.0
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_res,locomotion,2062,0.9946653734238603
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_res,posture,1781,0.99606962380685
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_res,stairs,697,0.9928263988522238
canonical_protocol_only_v3,acc16_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,household,3226,0.8840669559826411
canonical_protocol_only_v3,acc16_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,jump,373,0.8739946380697051
canonical_protocol_only_v3,acc16_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,5378,0.8452956489401264
canonical_protocol_only_v3,acc16_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,posture,4353,0.9547438548127728
canonical_protocol_only_v3,acc16_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,stairs,1719,0.9668411867364747
